direction,road,scenario,mean,std
Northbound,Mission Boulevard,System Fully Coordinated,4372.421568627452,3941.7886386773
Northbound,Mission Boulevard,Mission Blvd Zero Offset Northbound,5000.176470588235,4146.185507858941
Northbound,Mission Boulevard,Mission Blvd L/V Coordinated Northbound,5199.607843137256,4278.601243323082
Northbound,Osgood Road,System Fully Coordinated,2708.4422222222215,957.9618499894957
Northbound,Osgood Road,Mission Blvd Zero Offset Northbound,2175.5333333333333,1046.039084995301
Northbound,Osgood Road,Mission Blvd L/V Coordinated Northbound,2082.9133333333343,933.4880076612803
Northbound,I-680,System Fully Coordinated,27532.941176470587,3089.7451154210066
Northbound,I-680,Mission Blvd Zero Offset Northbound,28333.352941176472,3785.987601359394
Northbound,I-680,Mission Blvd L/V Coordinated Northbound,28343.25490196078,3765.604781235553
Southbound,Mission Boulevard,System Fully Coordinated,3276.791277258568,2983.978631424044
Southbound,Mission Boulevard,Mission Blvd Zero Offset Northbound,2980.3831775700933,4070.7527319428277
Southbound,Mission Boulevard,Mission Blvd L/V Coordinated Northbound,3043.8660436137097,4220.123860259614
Southbound,Osgood Road,System Fully Coordinated,2560.5666666666666,1107.1870475898838
Southbound,Osgood Road,Mission Blvd Zero Offset Northbound,1860.09375,1019.7444851800041
Southbound,Osgood Road,Mission Blvd L/V Coordinated Northbound,1863.016666666666,893.1523165267615
Southbound,I-680,System Fully Coordinated,23958.964912280702,3890.3324096996794
Southbound,I-680,Mission Blvd Zero Offset Northbound,25260.526315789473,5739.627469216109
Southbound,I-680,Mission Blvd L/V Coordinated Northbound,25066.245614035084,5762.494013646342
Both Directions,Mission Boulevard,System Fully Coordinated,3811.5007974481655,3519.0623651222904
Both Directions,Mission Boulevard,Mission Blvd Zero Offset Northbound,3966.1196172248806,4220.964447307111
Both Directions,Mission Boulevard,Mission Blvd L/V Coordinated Northbound,4095.9505582137135,4373.999289361436
Both Directions,Osgood Road,System Fully Coordinated,2632.119354838709,1038.640401653221
Both Directions,Osgood Road,Mission Blvd Zero Offset Northbound,2012.725806451613,1042.897987628934
Both Directions,Osgood Road,Mission Blvd L/V Coordinated Northbound,1969.4182795698928,918.0318849821324
Both Directions,I-680,System Fully Coordinated,25646.675925925923,3927.09886980773
Both Directions,I-680,Mission Blvd Zero Offset Northbound,26711.583333333332,5090.711829961926
Both Directions,I-680,Mission Blvd L/V Coordinated Northbound,26613.722222222226,5129.5818533752035
